,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
598,fairness-indicators,tensorflow/fairness-indicators,interpretability,,{},39.0,,3,False,fairness-indicators,,,,"['tensorflow', 'jupyter']",,,https://pypi.org/project/fairness-indicators,683.0,683.0,,,,,,,,,,,,3.0,,,,,,,,,,,
599,model-card-toolkit,tensorflow/model-card-toolkit,interpretability,,{},22.0,,3,False,model-card-toolkit,,,,,,,https://pypi.org/project/model-card-toolkit,270.0,270.0,,,,,,,,,,,,3.0,,,,,,,,,,,
600,Anchor,marcotcr/anchor,interpretability,,{},10.0,,3,False,anchor_exp,,,,,,,https://pypi.org/project/anchor_exp,1133.0,1133.0,,,,,,,,,,,,3.0,,,,,,,,,,,
601,GraphVite,DeepGraphLearning/graphvite,graph,,{},,A general and high-performance graph embedding system for various applications.,3,False,,milagraph/graphvite,,,,,,,,65.0,https://anaconda.org/milagraph/graphvite,2019-08-05 06:16:49.612,2025-03-25 16:27:49.968,2025-03-25 16:27:49.968000,5606.0,4.0,,,,,,3.0,,,,,,,,,,,
602,PyTorch-BigGraph,facebookresearch/PyTorch-BigGraph,graph,,{},32.0,,3,False,torchbiggraph,,,,['pytorch'],,,https://pypi.org/project/torchbiggraph,771.0,771.0,,,,,,,,,,,,3.0,,,,,,,,,,,
603,DIG,divelab/DIG,graph,,{},50.0,,3,False,dig,,,,,,,https://pypi.org/project/dig,325.0,325.0,,,,,,,,,,,,3.0,,,,,,,,,,,
604,FinQuant,fmilthaler/FinQuant,financial-data,,{},7.0,,3,False,FinQuant,,,,,100.0,100.0,https://pypi.org/project/FinQuant,,,,,,,,,,,,,,3.0,,,,,,,,,,,
605,tf-quant-finance,google/tf-quant-finance,financial-data,,{},49.0,,3,False,tf-quant-finance,,,,['tensorflow'],,,https://pypi.org/project/tf-quant-finance,314.0,314.0,,,,,,,,,,,,3.0,,,,,,,,,,,
606,AdaNet,tensorflow/adanet,hyperopt,,{},27.0,,3,False,adanet,,,,['tensorflow'],,,https://pypi.org/project/adanet,505.0,505.0,,,,,,,,,,,,3.0,,,,,,,,,,,
607,Auto Tune Models,HDI-Project/ATM,hyperopt,,{},17.0,,3,False,atm,,,,,26.0,26.0,https://pypi.org/project/atm,113.0,113.0,,,,,,,,,,,,3.0,,,,,,,,,,,
608,chitra,gradsflow/chitra,ml-experiments,,{},14.0,A multi functional library for full stack Deep Learning.,3,False,chitra,conda-forge/chitra,,,,,,https://pypi.org/project/chitra,93.0,226.0,https://anaconda.org/conda-forge/chitra,2022-01-13 13:30:34.982,2025-04-22 14:58:08.672,2025-04-22 14:58:08.672000,7478.0,1.0,,,,,,3.0,,,,,,,,,,,
609,rliable,google-research/rliable,reinforcement-learning,,{},9.0,,3,False,rliable,,,,,,,https://pypi.org/project/rliable,6646.0,6646.0,,,,,,,,,,,,3.0,,,,,,,,,,,
610,mesh-transformer-jax,kingoflolz/mesh-transformer-jax,distributed-ml,,{},23.0,,3,False,,,,,['jax'],23.0,23.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
611,launchpad,deepmind/launchpad,distributed-ml,,{},28.0,,3,False,dm-launchpad,,,,['tensorflow'],,,https://pypi.org/project/dm-launchpad,963.0,963.0,,,,,,,,,,,,3.0,,,,,,,,,,,
612,greykite,linkedin/greykite,time-series-data,,{},10.0,,3,False,greykite,,,,,50.0,50.0,https://pypi.org/project/greykite,,,,,,,,,,,,,,3.0,,,,,,,,,,,
613,luminaire,zillow/luminaire,time-series-data,,{},11.0,,3,False,luminaire,,,,,5.0,5.0,https://pypi.org/project/luminaire,158.0,158.0,,,,,,,,,,,,3.0,,,,,,,,,,,
614,Spotlight,maciejkula/spotlight,recommender-systems,,{},11.0,,3,False,,maciejkula/spotlight,,,['pytorch'],,,,,87.0,https://anaconda.org/maciejkula/spotlight,2017-06-28 21:27:28.858,2025-03-25 16:28:52.378,2025-03-25 16:28:52.378000,9717.0,6.0,,,,,,3.0,,,,,,,,,,,
615,Case Recommender,caserec/CaseRecommender,recommender-systems,,{},11.0,,3,False,caserecommender,,,,['sklearn'],15.0,15.0,https://pypi.org/project/caserecommender,113.0,113.0,,,,,,,,,,,,3.0,,,,,,,,,,,
616,TTS,mozilla/TTS,audio,,{},56.0,,3,False,,,,,,24.0,24.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
617,ml-ane-transformers,apple/ml-ane-transformers,model-serialisation,,{},,,3,False,ane-transformers,,,,['pytorch'],,,https://pypi.org/project/ane-transformers,2307.0,2307.0,,,,,,,,,,,,3.0,,,,,,,,,,,
618,PipelineDP,OpenMined/PipelineDP,privacy-ml,,{},35.0,,3,False,pipeline-dp,,,,,,,https://pypi.org/project/pipeline-dp,363.0,363.0,,,,,,,,,,,,3.0,,,,,,,,,,,
619,CrypTen,facebookresearch/CrypTen,privacy-ml,,{},40.0,,3,False,crypten,,,,['pytorch'],,,https://pypi.org/project/crypten,305.0,305.0,,,,,,,,,,,,3.0,,,,,,,,,,,
620,DALI,NVIDIA/DALI,gpu-utilities,,{},106.0,,3,False,,,,,,,,,,,,,,,,,,,,,,3.0,Apache-2.0,,,,,,,,,,
621,BlazingSQL,BlazingDB/blazingsql,gpu-utilities,,{},50.0,,3,False,,blazingsql/blazingsql-protocol,,,,,,,,13.0,https://anaconda.org/blazingsql/blazingsql-protocol,2019-09-13 21:17:37.888,2025-03-25 16:26:10.601,2025-03-25 16:26:10.601000,1168.0,5.0,,,,,,3.0,,,,,,,,,,,
622,torch-uncertainty,ENSTA-U2IS-AI/torch-uncertainty,probabilistics,,{},20.0,,3,False,torch-uncertainty,,,,,,,https://pypi.org/project/torch-uncertainty,1667.0,1667.0,,,,,,,,,,,,3.0,,,,,,,,,,,
623,Performer Pytorch,lucidrains/performer-pytorch,pytorch-utils,,{},6.0,,3,False,performer-pytorch,,,,['pytorch'],,,https://pypi.org/project/performer-pytorch,3717.0,3717.0,,,,,,,,,,,,3.0,,,,,,,,,,,
624,Pytorch Toolbelt,BloodAxe/pytorch-toolbelt,pytorch-utils,,{},9.0,,3,False,pytorch_toolbelt,,,,['pytorch'],,,https://pypi.org/project/pytorch_toolbelt,6642.0,6642.0,,,,,,,,,,,,3.0,,,,,,,,,,,
