,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url
556,TensorFlow Privacy,tensorflow/privacy,privacy-ml,,{},62.0,,5,False,tensorflow-privacy,,,,['tensorflow'],,,https://pypi.org/project/tensorflow-privacy,14462.0,14462.0,,,,,,,,,,,,3.0,,,,,,,,,,,
557,Merlin,NVIDIA-Merlin/Merlin,gpu-utilities,,{},32.0,,5,False,merlin-core,,,,,,,https://pypi.org/project/merlin-core,36633.0,36633.0,,,,,,,,,,,,3.0,,,,,,,,,,,
558,AdaBound,Luolc/AdaBound,pytorch-utils,,{},2.0,,5,False,adabound,,,,['pytorch'],233.0,233.0,https://pypi.org/project/adabound,977.0,977.0,,,,,,,,,,,,3.0,,,,,,,,,,,
559,Poutyne,GRAAL-Research/poutyne,pytorch-utils,,{},23.0,,5,False,poutyne,,,,['pytorch'],,,https://pypi.org/project/poutyne,34890.0,34890.0,,,,,,,,,,,,3.0,,,,,,,,,,,
560,facenet-pytorch,timesler/facenet-pytorch,pytorch-utils,,{},18.0,,5,False,facenet-pytorch,,,,['pytorch'],,,https://pypi.org/project/facenet-pytorch,144777.0,144777.0,,,,,,,,,,,,3.0,,,,,,,,,,,
561,TensorFlow Cloud,tensorflow/cloud,tensorflow-utils,,{},30.0,,5,False,tensorflow-cloud,,,,['tensorflow'],,,https://pypi.org/project/tensorflow-cloud,29675.0,29675.0,,,,,,,,,,,,3.0,,,,,,,,,,,
562,evojax,google/evojax,jax-utils,,{},14.0,EvoJAX: Hardware-accelerated Neuroevolution.,5,False,evojax,conda-forge/evojax,,,['jax'],,,https://pypi.org/project/evojax,649.0,1667.0,https://anaconda.org/conda-forge/evojax,2022-02-14 16:32:21.864,2025-04-22 14:58:11.525,2025-04-22 14:58:11.525000,55014.0,20.0,,,,,,3.0,,,,,,,,,,,
563,pymdp,infer-actively/pymdp,others,,{},37.0,,5,False,inferactively-pymdp,,,,,,,https://pypi.org/project/inferactively-pymdp,21307.0,21307.0,,,,,,,,,,,,3.0,,,,,,,,,,,
564,awesome-machine-learning,josephmisiti/awesome-machine-learning,data-science,,{},736.0,,4,False,,,,,,23.0,23.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
565,awesome-quant,wilsonfreitas/awesome-quant,data-science,,{},304.0,,4,False,,,,,,24.0,24.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
566,Neural Network Libraries,sony/nnabla,ml-frameworks,,{},76.0,,4,False,nnabla,,,,,,,https://pypi.org/project/nnabla,1616.0,1616.0,,,,,,,,,,,,3.0,,,,,,,,,,,
567,ivis,beringresearch/ivis,ml-frameworks,,{},10.0,,4,False,ivis,,,,,41.0,41.0,https://pypi.org/project/ivis,376.0,376.0,,,,,,,,,,,,3.0,,,,,,,,,,,
568,finetune,IndicoDataSolutions/finetune,nlp,,{},25.0,,4,False,finetune,,,,"['tensorflow', 'sklearn']",16.0,16.0,https://pypi.org/project/finetune,82.0,82.0,,,,,,,,,,,,3.0,,,,,,,,,,,
569,deep-daze,lucidrains/deep-daze,image,,{},14.0,,4,False,deep-daze,,,,,56.0,56.0,https://pypi.org/project/deep-daze,132.0,132.0,,,,,,,,,,,,3.0,,,,,,,,,,,
570,PaddleDetection,PaddlePaddle/PaddleDetection,image,,{},188.0,,4,False,paddledet,,,,['paddle'],,,https://pypi.org/project/paddledet,698.0,698.0,,,,,,,,,,,,3.0,,,,,,,,,,,
571,attention-ocr,emedvedev/attention-ocr,ocr,,{},28.0,,4,False,aocr,,,,['tensorflow'],32.0,32.0,https://pypi.org/project/aocr,57.0,57.0,,,,,,,,,,,,3.0,,,,,,,,,,,
572,calamari,Calamari-OCR/calamari,ocr,,{},23.0,,4,False,calamari_ocr,,,,,,,https://pypi.org/project/calamari_ocr,2357.0,2357.0,,,,,,,,,,,,3.0,,,,,,,,,,,
573,responsible-ai-toolbox,microsoft/responsible-ai-toolbox,interpretability,,{},46.0,,4,False,raiwidgets,,,,"['pytorch', 'tensorflow', 'jupyter']",,,https://pypi.org/project/raiwidgets,5140.0,5140.0,,,,,,,,,,,,3.0,,,,,,,,,,,
