,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,pypi_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,recent_commit_count,trending,helm_id,maven_id,updated_github_id,maven_url,docs_url,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id
55,wandb client,wandb/client,ml-experiments,,{},253.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",20,False,wandb,conda-forge/wandb,,,,2020-07-28 19:00:23.555,2026-09-09 20:57:13.846000,,,,,,,,,,,,16508925.0,114.0,90464.0,90464.0,https://pypi.org/project/wandb,https://anaconda.org/conda-forge/wandb,2026-09-09 20:57:13.846,1807162.0,1.0,,16484504.0,,,,,,,,,,,,,,,,,
56,Gymnasium,Farama-Foundation/Gymnasium,reinforcement-learning,,{},613.0,A standard API for reinforcement learning and a diverse set of reference environments (formerly Gym).,20,False,gymnasium,conda-forge/gymnasium,,,MIT,2022-12-09 21:41:49.555,2026-05-28 18:13:39.730000,,,,,,,,,,,,4287226.0,12.0,23551.0,23551.0,https://pypi.org/project/gymnasium,https://anaconda.org/conda-forge/gymnasium,2026-05-28 18:13:39.730,458157.0,1.0,,4277045.0,,,,,,,,,,,,,,,,,
57,Ray,ray-project/ray,distributed-ml,,{},1732.0,Ray is a fast and simple framework for building and running distributed applications.,20,False,ray,conda-forge/ray-tune,,,,2020-12-10 16:27:52.723,2026-09-09 03:38:24.552000,,,,,,,,,,,,22254869.0,81.0,29582.0,29582.0,https://pypi.org/project/ray,https://anaconda.org/conda-forge/ray-tune,2026-09-09 03:38:24.552,1280713.0,2.0,,22236308.0,,,,,,,,,,,,,,,,,
58,torchsde,google-research/torchsde,pytorch-utils,,https://github.com/google-research/torchsde,10.0,Differentiable SDE solvers with GPU support and efficient sensitivity analysis.,19,False,torchsde,conda-forge/torchsde,['pytorch'],https://github.com/google-research/torchsde,Apache-2.0,2020-07-06 23:13:11.000,2025-04-22 14:57:44.362000,2024-12-30 10:52:51,164.0,228.0,32.0,75.0,32.0,53.0,1726.0,2023-09-26 22:07:23,0.2.6,,866.0,5.0,,,https://pypi.org/project/torchsde,https://anaconda.org/conda-forge/torchsde,2025-04-22 14:57:44.362,58932.0,1.0,,,,,,,,,,,,,,,,,,,
59,jraph,deepmind/jraph,graph,,https://github.com/google-deepmind/jraph,17.0,A Graph Neural Network Library in Jax.,19,False,jraph,conda-forge/jraph,['jax'],https://github.com/google-deepmind/jraph,Apache-2.0,2020-11-23 10:27:12.000,2026-09-06 10:21:09.471000,2022-08-31 13:13:15,103.0,107.0,3.0,17.0,12.0,27.0,1474.0,2022-08-12 15:24:20,0.0.6.de0,,85852.0,5.0,,,https://pypi.org/project/jraph,https://anaconda.org/conda-forge/jraph,2026-09-06 10:21:09.471,16680.0,1.0,,85570.0,,,,,,,,,google-deepmind/jraph,,,,,,,,
60,Sentinelsat,sentinelsat/sentinelsat,geospatial-data,,https://github.com/sentinelsat/sentinelsat,44.0,Search and download Copernicus Sentinel satellite images.,19,False,sentinelsat,conda-forge/sentinelsat,,https://github.com/sentinelsat/sentinelsat,GPL-3.0,2015-05-22 20:32:26.000,2025-04-22 14:57:37.199000,2024-02-29 13:41:11,1144.0,227.0,3.0,249.0,2.0,368.0,1018.0,2023-03-10 17:50:22,1.2.1,435.0,699.0,13.0,,,https://pypi.org/project/sentinelsat,https://anaconda.org/conda-forge/sentinelsat,2025-04-22 14:57:37.199,49460.0,2.0,,,,,,,,,,,,,,,,,,,
61,larq,larq/larq,ml-frameworks,,https://github.com/larq/larq,20.0,An Open-Source Library for Training Binarized Neural Networks.,19,True,larq,,['tensorflow'],https://github.com/larq/larq,Apache-2.0,2019-03-18 21:41:50.000,2026-06-12 15:35:18.000000,2026-06-12 15:35:16,740.0,85.0,27.0,742.0,23.0,125.0,731.0,2026-06-01 10:34:52,0.14.0,,2026.0,39.0,,,https://pypi.org/project/larq,,,,2.0,,2026.0,,,,,,,,,,,,,,,,,
62,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,{},1075.0,PyTorch Lightning is the lightweight PyTorch wrapper for ML researchers. Scale your models. Write less boilerplate.,19,False,pytorch-lightning,conda-forge/pytorch-lightning,['pytorch'],,,2020-06-03 07:36:42.521,2026-09-12 04:36:11.514000,,,,,,,,,,,,11382759.0,130.0,51079.0,51079.0,https://pypi.org/project/pytorch-lightning,https://anaconda.org/conda-forge/pytorch-lightning,2026-09-12 04:36:11.514,2279520.0,2.0,,11352366.0,,,,,,,,,,,,,,,,,
63,litellm,BerriAI/litellm,nlp,,{},1720.0,,19,False,litellm,,,,,,,,,,,,,,,,,,239050070.0,,28791.0,28791.0,https://pypi.org/project/litellm,,,,2.0,,239050070.0,,,,,,,,,,,,,,,,,
64,spaCy,explosion/spaCy,nlp,,{},782.0,Industrial-strength Natural Language Processing.,19,False,spacy,conda-forge/spacy,,,,2020-06-17 09:17:51.026,2026-03-29 21:12:40.594000,,,,,,,,,,,,23059206.0,92.0,146758.0,146758.0,https://pypi.org/project/spacy,https://anaconda.org/conda-forge/spacy,2026-03-29 21:12:40.594,9252231.0,2.0,,22935843.0,,,,,,,,,,,,,,,,,
