,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,trending,license,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url
166,huggingface_hub,huggingface/huggingface_hub,model-serialisation,,{},355.0,"Client library to download and publish models, datasets and other repos on the huggingface.co hub.",14,False,huggingface_hub,conda-forge/huggingface_hub,,,,,,https://pypi.org/project/huggingface_hub,424228424.0,424328212.0,https://anaconda.org/conda-forge/huggingface_hub,2021-02-12 21:11:22.751,2026-07-17 17:26:12.505,2026-07-17 17:26:12.505000,6486255.0,166.0,,,,,,2.0,,,,,,,,,,,
167,Opacus,pytorch/opacus,privacy-ml,,{},91.0,Train PyTorch models with Differential Privacy.,14,False,opacus,conda-forge/opacus,,,['pytorch'],1290.0,1290.0,https://pypi.org/project/opacus,160840.0,161504.0,https://anaconda.org/conda-forge/opacus,2022-01-11 20:35:33.574,2026-05-05 21:02:34.391,2026-05-05 21:02:34.391000,35900.0,12.0,,,,,,1.0,,,,,,,,,,,
168,gpustat,wookayin/gpustat,gpu-utilities,,{},18.0,A simple command-line utility for querying and monitoring GPU status.,14,False,gpustat,conda-forge/gpustat,,,,8211.0,8211.0,https://pypi.org/project/gpustat,950859.0,955775.0,https://anaconda.org/conda-forge/gpustat,2020-11-24 19:59:02.801,2025-04-22 14:57:03.401,2025-04-22 14:57:03.401000,334313.0,5.0,,,,,,2.0,,,,,,,,,,,
169,PyCUDA,inducer/pycuda,gpu-utilities,,{},84.0,Python wrapper for CUDA.,14,False,pycuda,conda-forge/pycuda,,,,4121.0,4121.0,https://pypi.org/project/pycuda,82909.0,104743.0,https://anaconda.org/conda-forge/pycuda,2021-03-24 21:15:24.222,2025-10-27 15:24:05.554,2025-10-27 15:24:05.554000,1397410.0,9.0,,,,,,2.0,,,,,,,,,,,
170,emcee,dfm/emcee,probabilistics,,{},78.0,The Python ensemble sampling toolkit for MCMC.,14,False,emcee,conda-forge/emcee,,,,3418.0,3418.0,https://pypi.org/project/emcee,600228.0,613656.0,https://anaconda.org/conda-forge/emcee,2021-06-27 13:53:55.745,2025-04-22 14:56:23.732,2025-04-22 14:56:23.732000,819153.0,12.0,,,,,,2.0,,,,,,,,,,,
171,PyStan,stan-dev/pystan,probabilistics,,{},14.0,"Python interface to Stan, a package for Bayesian inference.",14,False,pystan,conda-forge/pystan,,,,10630.0,10630.0,https://pypi.org/project/pystan,1320333.0,1370724.0,https://anaconda.org/conda-forge/pystan,2020-08-25 22:10:44.292,2025-04-22 14:56:33.006,2025-04-22 14:56:33.006000,3577761.0,13.0,,,,,,2.0,,,,,,,,,,,
172,SALib,SALib/SALib,probabilistics,,{},58.0,Sensitivity Analysis Library.,14,False,salib,conda-forge/salib,,,,1777.0,1777.0,https://pypi.org/project/salib,740156.0,747895.0,https://anaconda.org/conda-forge/salib,2020-10-24 17:04:38.048,2025-10-12 03:01:28.233,2025-10-12 03:01:28.233000,534052.0,16.0,,,,,,2.0,,,,,,,,,,,
173,pingouin,raphaelvallat/pingouin,probabilistics,,{},50.0,Pingouin is an open-source statistical package written in Python 3 and based mostly on Pandas and NumPy.,14,False,pingouin,conda-forge/pingouin,,,,3561.0,3561.0,https://pypi.org/project/pingouin,490204.0,493355.0,https://anaconda.org/conda-forge/pingouin,2020-06-15 06:04:02.429,2026-03-28 17:04:20.161,2026-03-28 17:04:20.161000,230037.0,30.0,,,,,,2.0,,,,,,,,,,,
174,scikit-survival,sebp/scikit-survival,sklearn-utils,,{},26.0,Survival analysis built on top of scikit-learn.,14,False,scikit-survival,conda-forge/scikit-survival,,,['sklearn'],1019.0,1019.0,https://pypi.org/project/scikit-survival,263073.0,269810.0,https://anaconda.org/conda-forge/scikit-survival,2021-11-09 12:11:50.632,2026-07-05 12:16:19.854,2026-07-05 12:16:19.854000,377299.0,19.0,,,,,,2.0,,,,,,,,,,,
175,Feature Engine,feature-engine/feature_engine,others,,{},59.0,Feature engineering and selection package with Scikit-learns fit and transform functionality.,14,False,feature_engine,conda-forge/feature_engine,,,,3924.0,3924.0,https://pypi.org/project/feature_engine,320060.0,321405.0,https://anaconda.org/conda-forge/feature_engine,2020-08-06 19:43:35.639,2026-02-28 00:54:25.851,2026-02-28 00:54:25.851000,95518.0,26.0,,,,,,1.0,,,,,,,,,,,
