,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,helm_id,recent_commit_count,updated_github_id,maven_id,maven_url,docs_url,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id
161,hmmlearn,hmmlearn/hmmlearn,probabilistics,,{},49.0,Hidden Markov Models in Python with scikit-learn like API.,15,False,hmmlearn,conda-forge/hmmlearn,['sklearn'],,,2020-09-15 00:44:34.740,2025-09-10 16:53:48.310000,,,,,,,,,,,,821546.0,12.0,4010.0,4010.0,https://pypi.org/project/hmmlearn,813938.0,https://anaconda.org/conda-forge/hmmlearn,2025-09-10 16:53:48.310,547790.0,1.0,,,,,,,,,,,,,,,,,,
162,torchdiffeq,rtqichen/torchdiffeq,pytorch-utils,,{},23.0,ODE solvers and adjoint sensitivity analysis in PyTorch.,15,False,torchdiffeq,conda-forge/torchdiffeq,['pytorch'],,,2020-05-06 16:34:48.157,2025-04-22 14:57:25.759000,,,,,,,,,,,,745756.0,4.0,5996.0,5996.0,https://pypi.org/project/torchdiffeq,745362.0,https://anaconda.org/conda-forge/torchdiffeq,2025-04-22 14:57:25.759,29960.0,2.0,,,,,,,,,,,,,,,,,,
163,scikit-learn-intelex,intel/scikit-learn-intelex,sklearn-utils,,{},88.0,Extension for Scikit-learn* (CPU runtime) is a seamless way to speed up your Scikit-learn application.,15,False,scikit-learn-intelex,conda-forge/scikit-learn-intelex,['sklearn'],,,2021-04-08 23:29:40.051,2026-07-14 07:44:54.068000,,,,,,,,,,,,144721.0,31.0,13874.0,13874.0,https://pypi.org/project/scikit-learn-intelex,132411.0,https://anaconda.org/conda-forge/scikit-learn-intelex,2026-07-14 07:44:54.068,800153.0,2.0,,,,,,,,,,,,,,,,,,
164,River,online-ml/river,others,,{},149.0,Online machine learning in Python.,15,False,river,conda-forge/river,,,,2021-04-19 20:23:28.936,2026-08-21 20:07:57.737000,,,,,,,,,,,,197107.0,9.0,922.0,922.0,https://pypi.org/project/river,194414.0,https://anaconda.org/conda-forge/river,2026-08-21 20:07:57.737,175089.0,1.0,,,,,,,,,,,,,,,,,,
165,Fiber,uber/fiber,distributed-ml,,https://github.com/uber/fiber,5.0,Distributed Computing for AI Made Simple.,14,False,fiber,,,https://github.com/uber/fiber,Apache-2.0,2020-01-07 18:16:24.000,2023-03-19 22:55:22.000000,2021-03-15 07:00:08,66.0,108.0,1.0,37.0,19.0,8.0,1047.0,,,,198.0,,96.0,96.0,https://pypi.org/project/fiber,198.0,,,,2.0,,,,,,,,,,,,,,,,,,
166,evojax,google/evojax,jax-utils,,https://github.com/google/evojax,14.0,EvoJAX: Hardware-accelerated Neuroevolution.,14,False,evojax,conda-forge/evojax,['jax'],https://github.com/google/evojax,Apache-2.0,2021-12-07 00:30:07.000,2025-04-22 14:58:11.525000,2024-06-27 07:26:43,298.0,109.0,1.0,52.0,15.0,17.0,951.0,,,,2649.0,20.0,,,https://pypi.org/project/evojax,1631.0,https://anaconda.org/conda-forge/evojax,2025-04-22 14:58:11.525,56015.0,1.0,,,,,,,,,,,,,,,,,,
167,NeuralCompression,facebookresearch/NeuralCompression,image,,https://github.com/facebookresearch/NeuralCompression,10.0,A collection of tools for neural compression enthusiasts.,14,False,neuralcompression,,,https://github.com/facebookresearch/NeuralCompression,MIT,2021-07-09 15:14:13.000,2024-09-20 14:21:23.000000,2024-09-20 14:21:18,142.0,56.0,4.0,171.0,8.0,66.0,597.0,2023-10-03 14:25:36,0.3.1,,96.0,6.0,,,https://pypi.org/project/neuralcompression,96.0,,,,2.0,,,,,,,,,,,,,,,,,,
168,launchpad,deepmind/launchpad,distributed-ml,,https://github.com/google-deepmind/launchpad,28.0,,14,False,dm-launchpad,,['tensorflow'],https://github.com/google-deepmind/launchpad,Apache-2.0,2021-02-18 15:16:49.000,2023-08-22 08:22:46.000000,2023-08-22 08:22:26,367.0,42.0,5.0,6.0,19.0,21.0,331.0,,,,992.0,,,,https://pypi.org/project/dm-launchpad,992.0,,,,2.0,,,,,,,,,google-deepmind/launchpad,,,,,,,,,
169,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,{},513.0,https://www.deepspeed.ai for more info.,14,False,deepspeed,,['pytorch'],,,,2022-09-02 00:25:31.275782,,,,,,,,5.0,,,,1059268.0,,16088.0,16088.0,https://pypi.org/project/deepspeed,1059268.0,,,,2.0,,deepspeed/deepspeed,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,5.0,27882.0,,,,,,,,,,,,
170,Catboost,catboost/catboost,ml-frameworks,,{},1435.0,Gradient boosting on decision trees library.,14,False,catboost,conda-forge/catboost,,,,2020-11-05 20:16:46.091,2026-02-23 23:23:44.774000,,,,,,,,,,,,5722880.0,71.0,21.0,21.0,https://pypi.org/project/catboost,5683260.0,https://anaconda.org/conda-forge/catboost,2026-02-23 23:23:44.774,2773418.0,3.0,,,,,,,,,,,,,,,,,,
