,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
560,pytorch_geometric_temporal,benedekrozemberczki/pytorch_geometric_temporal,graph,,{},40.0,,4,False,torch-geometric-temporal,,,,['pytorch'],,,https://pypi.org/project/torch-geometric-temporal,4071.0,4071.0,,,,,,,,,,,,3.0,,,,,,,,,,,
561,PyTorch-BigGraph,facebookresearch/PyTorch-BigGraph,graph,,{},32.0,,4,False,torchbiggraph,,,,['pytorch'],,,https://pypi.org/project/torchbiggraph,2643.0,2643.0,,,,,,,,,,,,3.0,,,,,,,,,,,
562,tf-quant-finance,google/tf-quant-finance,financial-data,,{},49.0,,4,False,tf-quant-finance,,,,['tensorflow'],,,https://pypi.org/project/tf-quant-finance,1394.0,1394.0,,,,,,,,,,,,3.0,,,,,,,,,,,
563,AdaNet,tensorflow/adanet,hyperopt,,{},27.0,,4,False,adanet,,,,['tensorflow'],,,https://pypi.org/project/adanet,1187.0,1187.0,,,,,,,,,,,,3.0,,,,,,,,,,,
564,Test Tube,williamFalcon/test-tube,hyperopt,,{},16.0,,4,False,test_tube,,,,,,,https://pypi.org/project/test_tube,17890.0,17890.0,,,,,,,,,,,,3.0,,,,,,,,,,,
565,Studio.ml,studioml/studio,ml-experiments,,{},24.0,,4,False,studioml,,,,,8.0,8.0,https://pypi.org/project/studioml,166.0,166.0,,,,,,,,,,,,3.0,,,,,,,,,,,
566,rliable,google-research/rliable,reinforcement-learning,,{},9.0,,4,False,rliable,,,,,,,https://pypi.org/project/rliable,10127.0,10127.0,,,,,,,,,,,,3.0,,,,,,,,,,,
567,TensorLayerx,tensorlayer/tensorlayerx,reinforcement-learning,,{},13.0,,4,False,tensorlayerx,,,,['tensorflow'],31.0,31.0,https://pypi.org/project/tensorlayerx,377.0,377.0,,,,,,,,,,,,3.0,,,,,,,,,,,
568,BigDL,intel-analytics/BigDL,distributed-ml,,{},125.0,,4,False,bigdl,,,,,,,https://pypi.org/project/bigdl,2863.0,2863.0,,,,,,,,,,,,3.0,,,,,,,,,,com.intel.analytics.bigdl:bigdl-SPARK_2.4,https://search.maven.org/artifact/com.intel.analytics.bigdl/bigdl-SPARK_2.4
569,BytePS,bytedance/byteps,distributed-ml,,{},21.0,,4,False,byteps,,bytepsimage/tensorflow,,,,,https://pypi.org/project/byteps,80.0,80.0,,,,2020-03-03 02:33:23.358610,,,https://hub.docker.com/r/bytepsimage/tensorflow,2020-03-03 02:33:23.358610,,,2157.0,3.0,Apache-2.0,,,,,,,,,,
570,parallelformers,tunib-ai/parallelformers,distributed-ml,,{},5.0,,4,False,parallelformers,,,,,74.0,74.0,https://pypi.org/project/parallelformers,42.0,42.0,,,,,,,,,,,,3.0,,,,,,,,,,,
571,Hivemind,learning-at-home/hivemind,distributed-ml,,{},34.0,,4,False,hivemind,,,,,135.0,135.0,https://pypi.org/project/hivemind,,,,,,,,,,,,,,3.0,,,,,,,,,,,
572,launchpad,deepmind/launchpad,distributed-ml,,{},28.0,,4,False,dm-launchpad,,,,['tensorflow'],,,https://pypi.org/project/dm-launchpad,1405.0,1405.0,,,,,,,,,,,,3.0,,,,,,,,,,,
573,NGT,yahoojapan/NGT,nn-search,,{},22.0,,4,False,ngt,,,,,,,https://pypi.org/project/ngt,3839.0,3839.0,,,,,,,,,,,,3.0,,,,,,,,,,,
574,Recommenders,microsoft/recommenders,recommender-systems,,{},148.0,,4,False,recommenders,,,,,181.0,181.0,https://pypi.org/project/recommenders,,,,,,,,,,,,,,3.0,,,,,,,,,,,
575,Magenta,magenta/magenta,audio,,{},155.0,,4,False,magenta,,,,['tensorflow'],18.0,18.0,https://pypi.org/project/magenta,,,,,,,,,,,,,,3.0,,,,,,,,,,,
576,nnAudio,KinWaiCheuk/nnAudio,audio,,{},17.0,,4,False,nnAudio,,,,,458.0,458.0,https://pypi.org/project/nnAudio,,,,,,,,,,,,,,3.0,,,,,,,,,,,
577,Porcupine,Picovoice/Porcupine,audio,,{},45.0,,4,False,pvporcupine,,,,,56.0,56.0,https://pypi.org/project/pvporcupine,,,,,,,,,,,,,,3.0,,,,,,,,,,,
578,Larq Compute Engine,larq/compute-engine,model-serialisation,,{},19.0,,4,False,larq-compute-engine,,,,,11.0,11.0,https://pypi.org/project/larq-compute-engine,327.0,327.0,,,,,,,,,,,,3.0,,,,,,,,,,,
579,ArrayFire,arrayfire/arrayfire,gpu-utilities,,{},97.0,,4,False,arrayfire,,,,,,,https://pypi.org/project/arrayfire,5261.0,5261.0,,,,,,,,,,,,3.0,,,,,,,,,,,
580,textflint,textflint/textflint,adversarial,,{},18.0,,4,False,textflint,,,,,21.0,21.0,https://pypi.org/project/textflint,268.0,268.0,,,,,,,,,,,,3.0,,,,,,,,,,,
581,tinygrad,geohot/tinygrad,pytorch-utils,,{},492.0,,4,False,,,,,['pytorch'],23.0,23.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
582,Higher,facebookresearch/higher,pytorch-utils,,{},8.0,,4,False,higher,,,,['pytorch'],,,https://pypi.org/project/higher,14127.0,14127.0,,,,,,,,,,,,3.0,,,,,,,,,,,
583,TF Compression,tensorflow/compression,tensorflow-utils,,{},26.0,,4,False,tensorflow-compression,,,,['tensorflow'],,,https://pypi.org/project/tensorflow-compression,1591.0,1591.0,,,,,,,,,,,,3.0,,,,,,,,,,,
584,dabl,dabl/dabl,sklearn-utils,,{},24.0,,4,False,dabl,,,,['sklearn'],,,https://pypi.org/project/dabl,1660.0,1660.0,,,,,,,,,,,,3.0,,,,,,,,,,,
585,Mars,mars-project/mars,others,,{},53.0,,4,False,pymars,,,,,,,https://pypi.org/project/pymars,6131.0,6131.0,,,,,,,,,,,,3.0,,,,,,,,,,,
586,PaddleHub,PaddlePaddle/PaddleHub,others,,{},70.0,,4,False,paddlehub,,,,['paddle'],,,https://pypi.org/project/paddlehub,2660.0,2660.0,,,,,,,,,,,,3.0,,,,,,,,,,,
587,Towhee,towhee-io/towhee,others,,{},38.0,,4,False,towhee,,,,,,,https://pypi.org/project/towhee,1318.0,1318.0,,,,,,,,,,,,3.0,,,,,,,,,,,
588,pykale,pykale/pykale,others,,{},31.0,,4,False,pykale,,,,['pytorch'],7.0,7.0,https://pypi.org/project/pykale,249.0,249.0,,,,,,,,,,,,3.0,,,,,,,,,,,
589,awesome-python-data-science,krzjoa/awesome-python-data-science,data-science,,{},39.0,,3,False,,,,,,10.0,10.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
590,Machine-Learning-Tutorials,ujjwalkarn/Machine-Learning-Tutorials,data-science,,{},34.0,,3,False,,,,,,23.0,23.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
591,ML in production,eugeneyan/applied-ml,data-science,,{},53.0,,3,False,,,,,,24.0,24.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
592,larq,larq/larq,ml-frameworks,,{},20.0,,3,False,larq,,,,['tensorflow'],,,https://pypi.org/project/larq,1328.0,1328.0,,,,,,,,,,,,3.0,,,,,,,,,,,
593,EvaDB,georgia-tech-db/eva,ml-frameworks,,{},72.0,,3,False,evadb,,,,['pytorch'],,,https://pypi.org/project/evadb,518.0,518.0,,,,,,,,,,,,3.0,,,,,,,,,,,
594,VizSeq,facebookresearch/vizseq,nlp,,{},5.0,,3,False,vizseq,,,,,13.0,13.0,https://pypi.org/project/vizseq,24.0,24.0,,,,,,,,,,,,3.0,,,,,,,,,,,
595,Texthero,jbesomi/texthero,nlp,,{},21.0,,3,False,texthero,,,,,,,https://pypi.org/project/texthero,804.0,804.0,,,,,,,,,,,,3.0,,,,,,,,,,,
596,fast-bert,utterworks/fast-bert,nlp,,{},37.0,,3,False,fast-bert,,,,,,,https://pypi.org/project/fast-bert,911.0,911.0,,,,,,,,,,,,3.0,,,,,,,,,,,
597,Sockeye,awslabs/sockeye,nlp,,{},61.0,,3,False,sockeye,,,,['pytorch'],,,https://pypi.org/project/sockeye,360.0,360.0,,,,,,,,,,,,3.0,,,,,,,,,,,
598,Caer,jasmcaus/caer,image,,{},8.0,"A lightweight Computer Vision library. Scale your models, not boilerplate.",3,False,caer,,,https://caer.rtfd.io,,,,https://pypi.org/project/caer,2194.0,2194.0,,,,,,,,,,,,3.0,,,,,,,,,,,
