,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
78,Core ML Tools,apple/coremltools,model-serialisation,,{},234.0,Core ML is an Apple framework to integrate machine learning models into your app. Core ML provides a unified..,17,False,coremltools,conda-forge/coremltools,,,,5581.0,5581.0,https://pypi.org/project/coremltools,1828530.0,1830758.0,https://anaconda.org/conda-forge/coremltools,2020-10-16 19:48:15.220,2026-06-22 13:38:39.137,2026-06-22 13:38:39.137000,153772.0,5.0,,,,,,2.0,,,,,3.0,,,,,,
79,Gradio,gradio-app/gradio,model-serialisation,,{},506.0,,17,False,gradio,,,,,89152.0,89152.0,https://pypi.org/project/gradio,14111356.0,14111356.0,,,,,,,,,,,,2.0,,,,,,,,,,,
80,optimum,huggingface/optimum,gpu-utilities,,{},164.0,"Optimum Library is an extension of the Hugging Face Transformers library, providing a framework to integrate third-..",17,False,optimum,conda-forge/optimum,,,,7246.0,7246.0,https://pypi.org/project/optimum,1992254.0,1994492.0,https://anaconda.org/conda-forge/optimum,2022-04-01 08:22:36.713,2026-06-10 01:02:31.061,2026-06-10 01:02:31.061000,114175.0,32.0,,,,,,1.0,,,,,,,,,,,
81,pymc,pymc-devs/pymc,probabilistics,,{},566.0,Probabilistic Programming in Python.,17,False,pymc,conda-forge/pymc,,,,8058.0,8058.0,https://pypi.org/project/pymc,1854012.0,1867745.0,https://anaconda.org/conda-forge/pymc,2020-10-13 03:19:15.240,2026-07-23 16:45:33.490,2026-07-23 16:45:33.490000,947620.0,90.0,,,,,,1.0,,,,,,,,,,,
82,TensorFlow Datasets,tensorflow/datasets,tensorflow-utils,,{},329.0,tensorflow/datasets is a library of datasets ready to use with TensorFlow.,17,False,tensorflow-datasets,conda-forge/tensorflow-datasets,,,['tensorflow'],25546.0,25546.0,https://pypi.org/project/tensorflow-datasets,1662419.0,1663361.0,https://anaconda.org/conda-forge/tensorflow-datasets,2021-05-04 09:11:33.308,2025-04-22 14:57:51.541,2025-04-22 14:57:51.541000,58442.0,9.0,,,,,,1.0,,,,,,,,,,,
83,MLxtend,rasbt/mlxtend,sklearn-utils,,{},121.0,Machine Learning Library Extensions.,17,False,mlxtend,conda-forge/mlxtend,,,['sklearn'],21005.0,21005.0,https://pypi.org/project/mlxtend,1090474.0,1102286.0,https://anaconda.org/conda-forge/mlxtend,2020-07-28 03:34:49.886,2026-06-09 21:10:46.329,2026-06-09 21:10:46.329000,850534.0,25.0,,,,,,1.0,,,,,,,,,,,
84,agate,wireservice/agate,others,,{},62.0,A data analysis library that is optimized for humans instead of machines.,17,False,agate,conda-forge/agate,,,,5820.0,5820.0,https://pypi.org/project/agate,33701545.0,33712995.0,https://anaconda.org/conda-forge/agate,2021-05-30 20:16:52.450,2026-02-27 18:41:38.959,2026-02-27 18:41:38.959000,709915.0,19.0,,,,,,1.0,,,,,,,,,,,
85,CuPy,cupy/cupy,gpu-utilities,,{},461.0,CuPy: NumPy & SciPy for GPU.,16,False,cupy,conda-forge/cupy,cupy/cupy,,,7790.0,7790.0,https://pypi.org/project/cupy,36813.0,159581.0,https://anaconda.org/conda-forge/cupy,2020-05-23 18:55:49.350,2026-06-01 13:39:01.924,2026-06-01 13:39:01.924000,8974079.0,65.0,https://hub.docker.com/r/cupy/cupy,2026-06-01 08:44:25.955588,14.0,14.0,110836.0,1.0,,,,,,,,,,,
86,LightGBM,microsoft/LightGBM,ml-frameworks,,{},351.0,LightGBM is a gradient boosting framework that uses tree based learning algorithms.,16,False,lightgbm,conda-forge/lightgbm,,,,174.0,174.0,https://pypi.org/project/lightgbm,24835760.0,24912228.0,https://anaconda.org/conda-forge/lightgbm,2020-09-01 12:55:08.262,2026-07-20 03:34:31.957,2026-07-20 03:34:31.957000,5352775.0,32.0,,,,,,2.0,,,,,,,,,,,
87,Ignite,pytorch/ignite,ml-frameworks,,{},262.0,A lightweight library to help with training neural networks in PyTorch.,16,False,pytorch-ignite,pytorch/ignite,,,['pytorch'],4038.0,4038.0,https://pypi.org/project/pytorch-ignite,362974.0,365805.0,https://anaconda.org/pytorch/ignite,2018-06-20 15:36:52.783,2026-07-22 15:14:18.114,2026-07-22 15:14:18.114000,274643.0,28.0,,,,,,2.0,,,,,,,,,,,
88,jellyfish,jamesturk/jellyfish,nlp,,{},37.0,A library for doing approximate and phonetic matching of strings.,16,False,jellyfish,conda-forge/jellyfish,,,,15442.0,15442.0,https://pypi.org/project/jellyfish,11643590.0,11676153.0,https://anaconda.org/conda-forge/jellyfish,2020-06-10 16:23:01.195,2025-11-25 21:17:09.326,2025-11-25 21:17:09.326000,2377122.0,19.0,,,,,,2.0,,,,,,,,,,,
89,crewAI,crewAIInc/crewAI,agents,,{},301.0,,16,False,crewai,,,,,20250.0,20250.0,https://pypi.org/project/crewai,11204305.0,11204305.0,,,,,,,,,,,,2.0,,,,,,,,,,,
90,ultralytics,ultralytics/ultralytics,image,,{},414.0,,16,False,ultralytics,,,,,59414.0,59414.0,https://pypi.org/project/ultralytics,8627768.0,8627768.0,,,,,,,,,,,,2.0,,,,,,,,,,,
91,imgaug,aleju/imgaug,image,,{},36.0,Image augmentation for machine learning experiments.,16,False,imgaug,conda-forge/imgaug,,,,26542.0,26542.0,https://pypi.org/project/imgaug,1291079.0,1294201.0,https://anaconda.org/conda-forge/imgaug,2019-06-05 06:04:19.977,2025-04-22 14:57:06.395,2025-04-22 14:57:06.395000,265441.0,3.0,,,,,,2.0,,,,,,,,,,,
92,imutils,PyImageSearch/imutils,image,,{},21.0,"A series of convenience functions to make basic image processing functions such as translation, rotation, resizing,..",16,False,imutils,conda-forge/imutils,,,,54239.0,54239.0,https://pypi.org/project/imutils,671970.0,676084.0,https://anaconda.org/conda-forge/imutils,2020-07-07 12:49:26.774,2025-04-22 14:57:06.837,2025-04-22 14:57:06.837000,296249.0,3.0,,,,,,2.0,,,,,3.0,,,,,,
93,VisPy,vispy/vispy,data-viz,,{},210.0,High-performance interactive 2D/3D data visualization library.,16,False,vispy,conda-forge/vispy,,,['jupyter'],2313.0,2313.0,https://pypi.org/project/vispy,1602524.0,1622949.0,https://anaconda.org/conda-forge/vispy,2020-09-24 16:39:06.228,2026-05-20 16:45:50.072,2026-05-20 16:45:50.072000,1427148.0,38.0,,,,,,2.0,,vispy,https://www.npmjs.com/package/vispy,38.0,,,,,,,
94,PyQtGraph,pyqtgraph/pyqtgraph,data-viz,,{},317.0,Scientific Graphics and GUI Library for Python.,16,False,pyqtgraph,conda-forge/pyqtgraph,,,,13833.0,13833.0,https://pypi.org/project/pyqtgraph,974549.0,991746.0,https://anaconda.org/conda-forge/pyqtgraph,2020-06-09 00:20:24.502,2025-11-19 10:58:06.682,2025-11-19 10:58:06.682000,1255394.0,18.0,,,,,,2.0,,,,,,,,,,,
95,ipyleaflet,jupyter-widgets/ipyleaflet,geospatial-data,,{},98.0,A Jupyter widget for dynamic Leaflet maps.,16,False,ipyleaflet,conda-forge/ipyleaflet,,,['jupyter'],18304.0,18304.0,https://pypi.org/project/ipyleaflet,466728.0,510168.0,https://anaconda.org/conda-forge/ipyleaflet,2020-05-25 11:11:25.372,2025-06-13 19:35:58.799,2025-06-13 19:35:58.799000,3086734.0,74.0,,,,,,3.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,1728.0,,,,,,,
96,Hyperopt,hyperopt/hyperopt,hyperopt,,{},108.0,Distributed Asynchronous Hyper-parameter Optimization.,16,False,hyperopt,conda-forge/hyperopt,,,,22637.0,22637.0,https://pypi.org/project/hyperopt,2768489.0,2781698.0,https://anaconda.org/conda-forge/hyperopt,2020-10-14 07:57:11.589,2025-04-22 14:56:55.071,2025-04-22 14:56:55.071000,911426.0,7.0,,,,,,1.0,,,,,,,,,,,
97,BoTorch,pytorch/botorch,hyperopt,,{},163.0,Bayesian Optimization in PyTorch.,16,False,botorch,conda-forge/botorch,,,['pytorch'],1942.0,1942.0,https://pypi.org/project/botorch,682413.0,685546.0,https://anaconda.org/conda-forge/botorch,2020-08-01 11:16:39.122,2026-06-09 03:34:16.649,2026-06-09 03:34:16.649000,222452.0,43.0,,,,,,1.0,,,,,,,,,,,
98,Nilearn,nilearn/nilearn,medical-data,,{},282.0,Statistical learning for neuroimaging in Python.,16,False,nilearn,conda-forge/nilearn,,,['sklearn'],4597.0,4597.0,https://pypi.org/project/nilearn,271452.0,280430.0,https://anaconda.org/conda-forge/nilearn,2020-11-12 13:26:01.761,2026-07-02 10:30:48.603,2026-07-02 10:30:48.603000,610569.0,31.0,,,,,,2.0,,,,,,,,,,,
99,MONAI,Project-MONAI/MONAI,medical-data,,{},299.0,AI Toolkit for Healthcare Imaging.,16,False,monai,conda-forge/monai,,,['pytorch'],4725.0,4725.0,https://pypi.org/project/monai,508479.0,509827.0,https://anaconda.org/conda-forge/monai,2021-12-29 09:55:36.763,2026-01-28 07:31:46.743,2026-01-28 07:31:46.743000,74172.0,15.0,,,,,,2.0,,,,,,,,,,,
100,mpi4py,mpi4py/mpi4py,distributed-ml,,{},29.0,Python bindings for MPI.,16,False,mpi4py,conda-forge/mpi4py,,,,12499.0,12499.0,https://pypi.org/project/mpi4py,865898.0,952228.0,https://anaconda.org/conda-forge/mpi4py,2020-10-09 13:03:47.206,2026-05-16 11:28:40.096,2026-05-16 11:28:40.096000,5956800.0,19.0,,,,,,2.0,,,,,,,,,,,
101,DEAP,deap/deap,distributed-ml,,{},93.0,Distributed Evolutionary Algorithms in Python.,16,False,deap,conda-forge/deap,,,,7072.0,7072.0,https://pypi.org/project/deap,485690.0,497125.0,https://anaconda.org/conda-forge/deap,2020-10-12 23:47:32.551,2026-05-06 22:52:09.525,2026-05-06 22:52:09.525000,789050.0,9.0,,,,,,2.0,,,,,,,,,,,
102,sktime,alan-turing-institute/sktime,time-series-data,,{},616.0,A unified framework for machine learning with time series.,16,False,sktime,conda-forge/sktime-all-extras,,,['sklearn'],4870.0,4870.0,https://pypi.org/project/sktime,1141874.0,1163610.0,https://anaconda.org/conda-forge/sktime-all-extras,2021-07-28 06:16:34.545,2025-12-07 07:18:44.347,2025-12-07 07:18:44.347000,1304169.0,76.0,,,,,,1.0,,,,,,,,,,,
103,STUMPY,TDAmeritrade/stumpy,time-series-data,,{},45.0,"STUMPY is a powerful and scalable Python library that computes something called a matrix profile, which can then be..",16,False,stumpy,conda-forge/stumpy,,,,1664.0,1664.0,https://pypi.org/project/stumpy,463483.0,480777.0,https://anaconda.org/conda-forge/stumpy,2020-06-15 15:52:12.048,2026-02-08 02:09:16.381,2026-02-08 02:09:16.381000,1262492.0,29.0,,,,,,1.0,BSD-3-Clause,,,,,,,,,,
104,weaviate,weaviate/weaviate,nn-search,,{},182.0,,16,False,weaviate-client,,,,,1074.0,1074.0,https://pypi.org/project/weaviate-client,210136576.0,210136576.0,,,,,,,,,,,,1.0,,,,,,,,,,,
105,PyNNDescent,lmcinnes/pynndescent,nn-search,,{},32.0,Simple fast approximate nearest neighbor search.,16,False,pynndescent,conda-forge/pynndescent,,,,13964.0,13964.0,https://pypi.org/project/pynndescent,6666553.0,6706605.0,https://anaconda.org/conda-forge/pynndescent,2020-07-01 15:27:13.844,2025-04-22 14:57:06.248,2025-04-22 14:57:06.248000,2883801.0,25.0,,,,,,1.0,,,,,,,,,,,
106,metrics,Lightning-AI/metrics,pytorch-utils,,{},294.0,Collection of PyTorch native metrics for easy evaluating machine learning models.,16,False,metrics,conda-forge/torchmetrics,,,['pytorch'],47771.0,47771.0,https://pypi.org/project/metrics,22784.0,70456.0,https://anaconda.org/conda-forge/torchmetrics,2021-03-16 10:50:04.846,2026-03-18 09:56:39.711,2026-03-18 09:56:39.711000,3051031.0,61.0,,,,,,1.0,,,,,,,,,,,
107,category_encoders,scikit-learn-contrib/category_encoders,sklearn-utils,,{},75.0,A collection of sklearn transformers to encode categorical variables as numeric.,16,False,category_encoders,conda-forge/category_encoders,,,['sklearn'],4224.0,4224.0,https://pypi.org/project/category_encoders,3034333.0,3044202.0,https://anaconda.org/conda-forge/category_encoders,2021-10-13 18:33:31.261,2026-07-28 19:16:21.783,2026-07-28 19:16:21.783000,562537.0,26.0,,,,,,1.0,,,,,,,,,,,
108,TorchServe,pytorch/serve,model-serialisation,,{},222.0,Model serving on PyTorch.,15,False,torchserve,pytorch/torchserve,pytorch/torchserve,,['pytorch'],952.0,952.0,https://pypi.org/project/torchserve,39873.0,71405.0,https://anaconda.org/pytorch/torchserve,2020-04-21 03:52:57.365,2025-03-25 16:24:31.948,2025-03-25 16:24:31.948000,752497.0,25.0,https://hub.docker.com/r/pytorch/torchserve,2024-09-30 22:07:15.226668,33.0,33.0,1612467.0,2.0,,,,,,,,,,,
109,Fastai,fastai/fastai,ml-frameworks,,{},263.0,,15,False,fastai,,,,['pytorch'],23512.0,23512.0,https://pypi.org/project/fastai,659482.0,659482.0,,,,,,,,,,,,2.0,,,,,,,,,,,
110,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,{},1527.0,,15,False,paddlepaddle,,,,['paddle'],9583.0,9583.0,https://pypi.org/project/paddlepaddle,2300125.0,2300125.0,,,,,,,,,,,,2.0,,,,,,,,,,,
111,thefuzz,seatgeek/thefuzz,nlp,,{},13.0,Fuzzy string matching in python.,15,False,thefuzz,conda-forge/thefuzz,,,,6022.0,6022.0,https://pypi.org/project/thefuzz,9698545.0,9699854.0,https://anaconda.org/conda-forge/thefuzz,2022-01-13 22:10:32.583,2025-04-22 14:58:08.752,2025-04-22 14:58:08.752000,70709.0,2.0,,,,,,2.0,,,,,,,,,,,
112,flair,flairNLP/flair,nlp,,{},278.0,A very simple framework for state-of-the-art NLP.,15,False,flair,conda-forge/python-flair,,,['pytorch'],4176.0,4176.0,https://pypi.org/project/flair,230118.0,230944.0,https://anaconda.org/conda-forge/python-flair,2020-07-28 19:00:35.095,2025-04-22 14:57:32.879,2025-04-22 14:57:32.879000,59503.0,14.0,,,,,,2.0,,,,,3.0,,,,,,
113,stanza,stanfordnlp/stanza,nlp,,{},78.0,"Stanza: A Python NLP Library for Many Human Languages, by the Stanford NLP Group.",15,False,stanza,stanfordnlp/stanza,,,,4322.0,4322.0,https://pypi.org/project/stanza,1076322.0,1076449.0,https://anaconda.org/stanfordnlp/stanza,2020-03-14 02:34:20.643,2025-03-25 16:28:39.162,2025-03-25 16:28:39.162000,9655.0,13.0,,,,,,2.0,,,,,,,,,,,
114,torchvision,pytorch/vision,image,,{},691.0,Image and video datasets and models for torch deep learning.,15,False,torchvision,conda-forge/torchvision,,,['pytorch'],24.0,24.0,https://pypi.org/project/torchvision,39047954.0,39125895.0,https://anaconda.org/conda-forge/torchvision,2021-03-09 23:13:43.284,2026-07-14 05:24:16.594,2026-07-14 05:24:16.594000,4988265.0,32.0,,,,,,2.0,,,,,,,,,,,
115,pyvips,libvips/pyvips,image,,{},21.0,Binding for libvips.,15,False,pyvips,conda-forge/pyvips,,,,1418.0,1418.0,https://pypi.org/project/pyvips,669292.0,674550.0,https://anaconda.org/conda-forge/pyvips,2020-10-14 09:36:00.636,2026-06-01 08:56:11.218,2026-06-01 08:56:11.218000,362847.0,9.0,,,,,,2.0,,,,,,,,,,,
